provider,country_code,country,asn,operator,observed_records_bucket,prefix_count,hosting_record_bucket,exit_record_bucket,avg_confidence,data_origin
Mullvad,RO,Romania,9009,M247,50-99,50,50-99,50-99,95.0,VPN-Infrastructure-Atlas
PureVPN,RO,Romania,9009,M247,50-99,42,50-99,50-99,88.0,VPN-Infrastructure-Atlas
Privado,NL,Netherlands,34343,BIP-AS BIP Backbone ASN,50-99,12,50-99,50-99,95.0,VPN-Infrastructure-Atlas
Mullvad,SE,Sweden,39351,ESAB-AS,50-99,20,50-99,50-99,95.0,VPN-Infrastructure-Atlas
ExpressVPN,AU,Australia,137409,GSLNETWORKS-AS-AP GSL Networks Pty LTD,50-99,35,50-99,50-99,69.7,VPN-Infrastructure-Atlas
Astrill,US,United States,20473,AS-VULTR,50-99,3,50-99,50-99,78.0,VPN-Infrastructure-Atlas
Sentinel dVPN,DE,Germany,8560,"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE.",50-99,81,50-99,50-99,95.0,VPN-Infrastructure-Atlas
Windscribe,US,United States,11878,TZULO,50-99,14,50-99,50-99,95.0,VPN-Infrastructure-Atlas
IPVanish,US,United States,46844,SHARKTECH,50-99,2,50-99,50-99,95.0,VPN-Infrastructure-Atlas
TunnelBear,US,United States,14061,DIGITALOCEAN-ASN,50-99,77,50-99,50-99,95.0,VPN-Infrastructure-Atlas
WLVPN,US,United States,46844,SHARKTECH,50-99,2,50-99,50-99,95.0,VPN-Infrastructure-Atlas
Private Internet Access,RO,Romania,9009,M247,50-99,29,50-99,50-99,95.0,VPN-Infrastructure-Atlas
Private Internet Access,US,United States,137409,GSLNETWORKS-AS-AP GSL Networks Pty LTD,50-99,36,50-99,50-99,95.0,VPN-Infrastructure-Atlas
NordVPN,BR,Brazil,262287,Latitude.sh LTDA,50-99,8,50-99,50-99,95.0,VPN-Infrastructure-Atlas
OVPN,SE,Sweden,42675,OBEHOSTING Obehosting AB,50-99,6,50-99,50-99,95.0,VPN-Infrastructure-Atlas
VPN Unlimited,US,United States,20473,AS-VULTR,50-99,60,50-99,50-99,70.0,VPN-Infrastructure-Atlas
Astrill,US,United States,36351,SOFTLAYER,50-99,12,50-99,50-99,78.1,VPN-Infrastructure-Atlas
IPVanish,US,United States,54203,NETPROTECT-SP,50-99,2,50-99,50-99,95.0,VPN-Infrastructure-Atlas
WLVPN,US,United States,54203,NETPROTECT-SP,50-99,2,50-99,50-99,95.0,VPN-Infrastructure-Atlas
Private Internet Access,AU,Australia,137409,GSLNETWORKS-AS-AP GSL Networks Pty LTD,50-99,21,50-99,50-99,95.0,VPN-Infrastructure-Atlas
IPVanish,US,United States,36352,AS-COLOCROSSING,50-99,2,50-99,50-99,95.0,VPN-Infrastructure-Atlas
