provider,country,observed_records_bucket,provider_country_share
PureVPN,Lithuania,lt-50,0.02
PureVPN,Luxembourg,lt-50,0.02
PureVPN,Seychelles,lt-50,0.01
PureVPN,European Union,lt-50,0.01
PureVPN,Canada,lt-50,0.01
PureVPN,Moldova,lt-50,0.01
PureVPN,India,lt-50,0.01
PureVPN,Albania,lt-50,0.01
PureVPN,Netherlands,lt-50,0.01
PureVPN,Brazil,lt-50,0.00
PureVPN,Finland,lt-50,0.00
RedShield VPN,United States,lt-50,0.35
RedShield VPN,United Kingdom,lt-50,0.32
RedShield VPN,Romania,lt-50,0.11
RedShield VPN,Israel,lt-50,0.05
RedShield VPN,Brazil,lt-50,0.05
RedShield VPN,Canada,lt-50,0.03
RedShield VPN,Finland,lt-50,0.03
RedShield VPN,Thailand,lt-50,0.03
RedShield VPN,Türkiye,lt-50,0.03
Riseup VPN,France,lt-50,0.62
Riseup VPN,United States,lt-50,0.19
Riseup VPN,Canada,lt-50,0.10
Riseup VPN,United Kingdom,lt-50,0.10
SSHMax,Czechia,lt-50,1.00
Safervpn,United States,lt-50,0.38
Safervpn,Austria,lt-50,0.13
Safervpn,Canada,lt-50,0.08
Safervpn,Netherlands,lt-50,0.05
Safervpn,Thailand,lt-50,0.03
Safervpn,South Africa,lt-50,0.03
Safervpn,United Kingdom,lt-50,0.03
Safervpn,Switzerland,lt-50,0.03
Safervpn,Cyprus,lt-50,0.03
Safervpn,Hungary,lt-50,0.03
Safervpn,Portugal,lt-50,0.03
Safervpn,Romania,lt-50,0.03
Safervpn,France,lt-50,0.03
Safervpn,Norway,lt-50,0.03
Safervpn,Hong Kong,lt-50,0.03
Safervpn,Spain,lt-50,0.03
Safervpn,Israel,lt-50,0.03
Safervpn,Finland,lt-50,0.03
Sentinel dVPN,United States,100-499,0.38
Sentinel dVPN,United Kingdom,100-499,0.13
Sentinel dVPN,Germany,100-499,0.12
Sentinel dVPN,Türkiye,50-99,0.05
Sentinel dVPN,Romania,lt-50,0.03
Sentinel dVPN,Canada,lt-50,0.03
Sentinel dVPN,Singapore,lt-50,0.03
Sentinel dVPN,Hong Kong,lt-50,0.03
Sentinel dVPN,Italy,lt-50,0.02
Sentinel dVPN,France,lt-50,0.02
Sentinel dVPN,China,lt-50,0.02
Sentinel dVPN,Estonia,lt-50,0.01
Sentinel dVPN,Vietnam,lt-50,0.01
Sentinel dVPN,Australia,lt-50,0.01
Sentinel dVPN,Georgia,lt-50,0.01
Sentinel dVPN,Netherlands,lt-50,0.01
Sentinel dVPN,India,lt-50,0.01
Sentinel dVPN,Poland,lt-50,0.00
Sentinel dVPN,Ukraine,lt-50,0.00
Sentinel dVPN,Moldova,lt-50,0.00
Sentinel dVPN,Egypt,lt-50,0.00
Sentinel dVPN,United Arab Emirates,lt-50,0.00
Sentinel dVPN,Peru,lt-50,0.00
Sentinel dVPN,Taiwan,lt-50,0.00
Sentinel dVPN,Argentina,lt-50,0.00
Sentinel dVPN,Russia,lt-50,0.00
Sentinel dVPN,Uruguay,lt-50,0.00
Sentinel dVPN,Sweden,lt-50,0.00
Sentinel dVPN,South Africa,lt-50,0.00
Sentinel dVPN,Malaysia,lt-50,0.00
Sentinel dVPN,Norway,lt-50,0.00
Sentinel dVPN,Czechia,lt-50,0.00
Sentinel dVPN,Cyprus,lt-50,0.00
Sentinel dVPN,Saudi Arabia,lt-50,0.00
Sentinel dVPN,Kazakhstan,lt-50,0.00
Sentinel dVPN,Lithuania,lt-50,0.00
Sentinel dVPN,Indonesia,lt-50,0.00
Sentinel dVPN,Bulgaria,lt-50,0.00
Sentinel dVPN,South Korea,lt-50,0.00
Sentinel dVPN,Japan,lt-50,0.00
Sentinel dVPN,Chile,lt-50,0.00
Sentinel dVPN,UNKNOWN,lt-50,0.00
Sentinel dVPN,Portugal,lt-50,0.00
Sentinel dVPN,Seychelles,lt-50,0.00
Sentinel dVPN,Kyrgyzstan,lt-50,0.00
Sentinel dVPN,Switzerland,lt-50,0.00
Sentinel dVPN,Iceland,lt-50,0.00
Sentinel dVPN,Denmark,lt-50,0.00
Sentinel dVPN,New Zealand,lt-50,0.00
Sentinel dVPN,Costa Rica,lt-50,0.00
Sentinel dVPN,Spain,lt-50,0.00
Sentinel dVPN,Israel,lt-50,0.00
Sentinel dVPN,Thailand,lt-50,0.00
Sentinel dVPN,Albania,lt-50,0.00
Sentinel dVPN,Jamaica,lt-50,0.00
Sentinel dVPN,Jordan,lt-50,0.00
Sentinel dVPN,Austria,lt-50,0.00
SlickVPN,United States,lt-50,0.64
SlickVPN,United Kingdom,lt-50,0.18
SlickVPN,Singapore,lt-50,0.09
SlickVPN,Austria,lt-50,0.09
SmartVPN,United States,lt-50,0.25
SmartVPN,Canada,lt-50,0.25
SmartVPN,Switzerland,lt-50,0.08
SmartVPN,Slovenia,lt-50,0.08
SmartVPN,Israel,lt-50,0.08
SmartVPN,Spain,lt-50,0.08
SmartVPN,Sweden,lt-50,0.08
SmartVPN,France,lt-50,0.08
Smartdnsproxy,Romania,lt-50,0.31
Smartdnsproxy,United States,lt-50,0.25
Smartdnsproxy,Netherlands,lt-50,0.10
Smartdnsproxy,United Kingdom,lt-50,0.08
Smartdnsproxy,Luxembourg,lt-50,0.04
Smartdnsproxy,Australia,lt-50,0.04
Smartdnsproxy,Canada,lt-50,0.02
Smartdnsproxy,Austria,lt-50,0.02
Smartdnsproxy,Sweden,lt-50,0.02
Smartdnsproxy,Türkiye,lt-50,0.02
Smartdnsproxy,Norway,lt-50,0.02
Smartdnsproxy,Panama,lt-50,0.02
Smartdnsproxy,Denmark,lt-50,0.02
Smartdnsproxy,Greece,lt-50,0.02
Smartdnsproxy,Italy,lt-50,0.02
SotaVPN,United Kingdom,lt-50,0.50
SotaVPN,Netherlands,lt-50,0.25
SotaVPN,Latvia,lt-50,0.25
StrongVPN,United States,100-499,0.86
StrongVPN,United Kingdom,lt-50,0.06
StrongVPN,Canada,lt-50,0.02
StrongVPN,Romania,lt-50,0.01
StrongVPN,India,lt-50,0.01
StrongVPN,Estonia,lt-50,0.01
StrongVPN,Malaysia,lt-50,0.01
StrongVPN,Netherlands,lt-50,0.01
StrongVPN,Australia,lt-50,0.00
StrongVPN,Costa Rica,lt-50,0.00
StrongVPN,Finland,lt-50,0.00
Surfshark,United States,lt-50,0.17
Surfshark,Australia,lt-50,0.04
Surfshark,United Kingdom,lt-50,0.03
Surfshark,France,lt-50,0.02
Surfshark,Canada,lt-50,0.02
Surfshark,Spain,lt-50,0.02
Surfshark,Portugal,lt-50,0.01
Surfshark,Poland,lt-50,0.01
Surfshark,Belgium,lt-50,0.01
Surfshark,Germany,lt-50,0.01
Surfshark,India,lt-50,0.01
Surfshark,Italy,lt-50,0.01
Surfshark,Thailand,lt-50,0.01
Surfshark,Mexico,lt-50,0.01
Surfshark,Serbia,lt-50,0.01
Surfshark,Japan,lt-50,0.01
Surfshark,Ukraine,lt-50,0.01
Surfshark,United Arab Emirates,lt-50,0.01
Surfshark,Brazil,lt-50,0.01
Surfshark,Denmark,lt-50,0.01
Surfshark,Greece,lt-50,0.01
Surfshark,Croatia,lt-50,0.01
Surfshark,South Africa,lt-50,0.01
Surfshark,Ireland,lt-50,0.01
Surfshark,Chile,lt-50,0.01
Surfshark,Singapore,lt-50,0.01
Surfshark,Colombia,lt-50,0.01
Surfshark,Pakistan,lt-50,0.01
Surfshark,Malaysia,lt-50,0.01
Surfshark,Hong Kong,lt-50,0.01
Surfshark,Bulgaria,lt-50,0.01
Surfshark,Israel,lt-50,0.01
Surfshark,Albania,lt-50,0.01
Surfshark,Ghana,lt-50,0.01
Surfshark,Bosnia and Herzegovina,lt-50,0.01
Surfshark,Azerbaijan,lt-50,0.01
Surfshark,Philippines,lt-50,0.01
Surfshark,Morocco,lt-50,0.01
Surfshark,South Korea,lt-50,0.01
Surfshark,Costa Rica,lt-50,0.01
Surfshark,Netherlands,lt-50,0.01
Surfshark,New Zealand,lt-50,0.01
Surfshark,Luxembourg,lt-50,0.01
Surfshark,Estonia,lt-50,0.01
Surfshark,Czechia,lt-50,0.01
Surfshark,Panama,lt-50,0.01
Surfshark,Slovakia,lt-50,0.01
Surfshark,Sweden,lt-50,0.01
Surfshark,Cyprus,lt-50,0.01
Surfshark,Malta,lt-50,0.01
Surfshark,Finland,lt-50,0.01
Surfshark,Laos,lt-50,0.01
Surfshark,Nepal,lt-50,0.01
Surfshark,Bolivia,lt-50,0.01
Surfshark,Paraguay,lt-50,0.01
Surfshark,Slovenia,lt-50,0.01
Surfshark,Uruguay,lt-50,0.01
Surfshark,Belize,lt-50,0.01
Surfshark,North Macedonia,lt-50,0.01
Surfshark,Moldova,lt-50,0.01
Surfshark,Kazakhstan,lt-50,0.01
Surfshark,Türkiye,lt-50,0.01
Surfshark,Iceland,lt-50,0.01
Surfshark,Puerto Rico,lt-50,0.01
Surfshark,Taiwan,lt-50,0.01
Surfshark,Venezuela,lt-50,0.01
Surfshark,Saudi Arabia,lt-50,0.01
Surfshark,Myanmar,lt-50,0.01
Surfshark,Algeria,lt-50,0.01
Surfshark,Bahamas,lt-50,0.01
Surfshark,Cambodia,lt-50,0.01
Surfshark,Egypt,lt-50,0.01
Surfshark,Isle of Man,lt-50,0.01
Surfshark,Lithuania,lt-50,0.01
Surfshark,Liechtenstein,lt-50,0.01
Surfshark,Monaco,lt-50,0.01
Surfshark,Andorra,lt-50,0.01
Surfshark,Bangladesh,lt-50,0.01
Surfshark,Macao,lt-50,0.01
Surfshark,Mongolia,lt-50,0.01
Surfshark,Bhutan,lt-50,0.01
Surfshark,Brunei,lt-50,0.01
Surfshark,Montenegro,lt-50,0.01
Surfshark,Nigeria,lt-50,0.01
Surfshark,Norway,lt-50,0.01
Surfshark,Hungary,lt-50,0.01
Surfshark,Latvia,lt-50,0.01
Surfshark,Vietnam,lt-50,0.01
Surfshark,Georgia,lt-50,0.01
Surfshark,Switzerland,lt-50,0.01
Surfshark,Argentina,lt-50,0.01
Surfshark,Armenia,lt-50,0.01
Surfshark,Ecuador,lt-50,0.01
Surfshark,Greenland,lt-50,0.01
Surfshark,Indonesia,lt-50,0.01
Surfshark,Uzbekistan,lt-50,0.01
Surfshark,Peru,lt-50,0.01
Surfshark,Romania,lt-50,0.00
Surfshark,Sri Lanka,lt-50,0.00
Surfshark,Austria,lt-50,0.00
SwitchVPN,United States,lt-50,0.40
SwitchVPN,Hong Kong,lt-50,0.12
SwitchVPN,Panama,lt-50,0.11
SwitchVPN,United Kingdom,lt-50,0.10
SwitchVPN,Netherlands,lt-50,0.06
SwitchVPN,Italy,lt-50,0.06
SwitchVPN,Canada,lt-50,0.02
SwitchVPN,Malaysia,lt-50,0.01
SwitchVPN,India,lt-50,0.01
SwitchVPN,Singapore,lt-50,0.01
SwitchVPN,Czechia,lt-50,0.01
SwitchVPN,Switzerland,lt-50,0.01
SwitchVPN,Austria,lt-50,0.01
SwitchVPN,South Korea,lt-50,0.01
SwitchVPN,France,lt-50,0.01
SwitchVPN,Belgium,lt-50,0.01
SwitchVPN,Norway,lt-50,0.01
TorGuard,Romania,100-499,0.83
TorGuard,United States,lt-50,0.05
TorGuard,Norway,lt-50,0.03
TorGuard,Australia,lt-50,0.02
TorGuard,Canada,lt-50,0.02
TorGuard,Thailand,lt-50,0.01
TorGuard,Estonia,lt-50,0.01
TorGuard,Moldova,lt-50,0.01
TorGuard,United Kingdom,lt-50,0.01
TorGuard,Chile,lt-50,0.01
TorGuard,Finland,lt-50,0.01
TorGuard,Portugal,lt-50,0.01
TorGuard,Israel,lt-50,0.00
TorGuard,Singapore,lt-50,0.00
Trust.Zone,Romania,lt-50,0.44
Trust.Zone,United Kingdom,lt-50,0.18
Trust.Zone,Canada,lt-50,0.08
Trust.Zone,Bulgaria,lt-50,0.07
Trust.Zone,Germany,lt-50,0.06
Trust.Zone,United States,lt-50,0.03
Trust.Zone,France,lt-50,0.03
Trust.Zone,Netherlands,lt-50,0.02
Trust.Zone,Ukraine,lt-50,0.02
Trust.Zone,Seychelles,lt-50,0.01
Trust.Zone,Australia,lt-50,0.01
Trust.Zone,Israel,lt-50,0.01
Trust.Zone,Albania,lt-50,0.01
Trust.Zone,Türkiye,lt-50,0.01
Trust.Zone,Poland,lt-50,0.01
TunnelBear,United States,100-499,0.50
TunnelBear,Romania,100-499,0.30
TunnelBear,Singapore,lt-50,0.10
TunnelBear,New Zealand,lt-50,0.04
TunnelBear,Hong Kong,lt-50,0.04
TunnelBear,United Kingdom,lt-50,0.01
TunnelBear,Netherlands,lt-50,0.01
TunnelBear,Italy,lt-50,0.00
TunnelBear,Canada,lt-50,0.00
VPN Gate,Japan,lt-50,0.42
VPN Gate,South Korea,lt-50,0.29
VPN Gate,United States,lt-50,0.18
VPN Gate,Thailand,lt-50,0.03
VPN Gate,Russia,lt-50,0.03
VPN Gate,Vietnam,lt-50,0.01
VPN Gate,Laos,lt-50,0.01
VPN Gate,European Union,lt-50,0.01
VPN Gate,Romania,lt-50,0.01
VPN Gate,Ukraine,lt-50,0.01
VPN Jantit,United States,lt-50,0.25
VPN Jantit,United Kingdom,lt-50,0.14
VPN Jantit,China,lt-50,0.12
VPN Jantit,Russia,lt-50,0.09
VPN Jantit,France,lt-50,0.09
VPN Jantit,Hong Kong,lt-50,0.04
VPN Jantit,Indonesia,lt-50,0.04
VPN Jantit,Singapore,lt-50,0.03
VPN Jantit,Philippines,lt-50,0.03
VPN Jantit,Netherlands,lt-50,0.03
VPN Jantit,Thailand,lt-50,0.02
VPN Jantit,Germany,lt-50,0.02
VPN Jantit,Luxembourg,lt-50,0.02
VPN Jantit,Hungary,lt-50,0.02
VPN Jantit,South Africa,lt-50,0.01
VPN Jantit,Vietnam,lt-50,0.01
VPN Jantit,Cambodia,lt-50,0.01
VPN Jantit,Estonia,lt-50,0.01
VPN Jantit,Kazakhstan,lt-50,0.01
VPN Jantit,Bulgaria,lt-50,0.01
VPN Jantit,Romania,lt-50,0.01
VPN Jantit,Moldova,lt-50,0.01
VPN Jantit,Türkiye,lt-50,0.01
VPN Unlimited,United States,100-499,0.53
VPN Unlimited,Netherlands,lt-50,0.14
VPN Unlimited,Canada,lt-50,0.13
VPN Unlimited,France,lt-50,0.08
VPN Unlimited,Slovenia,lt-50,0.03
VPN Unlimited,Romania,lt-50,0.02
VPN Unlimited,United Kingdom,lt-50,0.02
VPN Unlimited,Germany,lt-50,0.02
VPN Unlimited,Italy,lt-50,0.01
VPN Unlimited,Greece,lt-50,0.01
VPN Unlimited,Bulgaria,lt-50,0.01
VPN Unlimited,South Africa,lt-50,0.00
VPN Unlimited,Ukraine,lt-50,0.00
VPN.ac,United States,lt-50,0.21
VPN.ac,Netherlands,lt-50,0.14
VPN.ac,Romania,lt-50,0.14
VPN.ac,France,lt-50,0.09
VPN.ac,Australia,lt-50,0.07
VPN.ac,Canada,lt-50,0.07
VPN.ac,Germany,lt-50,0.06
VPN.ac,United Kingdom,lt-50,0.06
VPN.ac,Iceland,lt-50,0.05
VPN.ac,Seychelles,lt-50,0.03
VPN.ac,Singapore,lt-50,0.03
VPN.ac,Hong Kong,lt-50,0.02
VPN.ac,Portugal,lt-50,0.01
VPN.ac,Lithuania,lt-50,0.01
VPN.ac,Norway,lt-50,0.01
VPN.ac,Panama,lt-50,0.01
VPN.ac,Italy,lt-50,0.01
VPNObratno,Russia,lt-50,1.00
VPNSTunnel,United States,lt-50,1.00
VPNSecure,France,lt-50,0.52
VPNSecure,Canada,lt-50,0.17
VPNSecure,United Kingdom,lt-50,0.13
VPNSecure,United States,lt-50,0.05
VPNSecure,Ukraine,lt-50,0.03
VPNSecure,Romania,lt-50,0.03
VPNSecure,Sweden,lt-50,0.02
VPNSecure,Latvia,lt-50,0.02
VPNSecure,Hong Kong,lt-50,0.02
VPNSecure,Israel,lt-50,0.02
VPNUK,United Kingdom,lt-50,0.46
VPNUK,Canada,lt-50,0.17
VPNUK,United States,lt-50,0.09
VPNUK,Netherlands,lt-50,0.09
VPNUK,Romania,lt-50,0.03
VPNUK,Switzerland,lt-50,0.03
VPNUK,France,lt-50,0.02
VPNUK,Germany,lt-50,0.02
VPNUK,Italy,lt-50,0.02
VPNUK,Türkiye,lt-50,0.01
VPNUK,Hong Kong,lt-50,0.01
VPNUK,Spain,lt-50,0.01
VPNUK,Ireland,lt-50,0.01
Vpnbook,France,lt-50,1.00
Vpnfacile,France,lt-50,0.71
Vpnfacile,United Kingdom,lt-50,0.14
Vpnfacile,United States,lt-50,0.14
Vpnht,Germany,lt-50,0.28
Vpnht,France,lt-50,0.21
Vpnht,United Kingdom,lt-50,0.17
Vpnht,Romania,lt-50,0.09
Vpnht,Russia,lt-50,0.08
Vpnht,Austria,lt-50,0.05
Vpnht,Netherlands,lt-50,0.03
Vpnht,Albania,lt-50,0.03
Vpnht,Singapore,lt-50,0.02
Vpnht,United States,lt-50,0.01
Vpnht,South Korea,lt-50,0.01
Vpnht,Japan,lt-50,0.01
Vpnht,Denmark,lt-50,0.01
VyprVPN,United States,50-99,1.00
WLVPN,United States,1k-4.9k,0.71
WLVPN,United Kingdom,500-999,0.22
WLVPN,Netherlands,lt-50,0.01
WLVPN,Australia,lt-50,0.01
WLVPN,Romania,lt-50,0.01
WLVPN,Canada,lt-50,0.01
WLVPN,Estonia,lt-50,0.01
WLVPN,India,lt-50,0.00
WLVPN,Finland,lt-50,0.00
WLVPN,Malaysia,lt-50,0.00
WLVPN,Moldova,lt-50,0.00
WLVPN,Costa Rica,lt-50,0.00
WLVPN,Japan,lt-50,0.00
WLVPN,Albania,lt-50,0.00
WiTopia,United States,100-499,0.41
WiTopia,Romania,100-499,0.20
WiTopia,France,50-99,0.08
WiTopia,United Kingdom,lt-50,0.06
WiTopia,Canada,lt-50,0.05
WiTopia,Türkiye,lt-50,0.04
WiTopia,India,lt-50,0.02
WiTopia,Australia,lt-50,0.01
WiTopia,Thailand,lt-50,0.01
WiTopia,South Korea,lt-50,0.01
WiTopia,Portugal,lt-50,0.01
WiTopia,Brazil,lt-50,0.01
WiTopia,Malaysia,lt-50,0.01
WiTopia,Netherlands,lt-50,0.01
WiTopia,Latvia,lt-50,0.01
WiTopia,Lithuania,lt-50,0.01
WiTopia,Hong Kong,lt-50,0.01
WiTopia,Vietnam,lt-50,0.01
WiTopia,Italy,lt-50,0.01
WiTopia,Israel,lt-50,0.01
WiTopia,Russia,lt-50,0.01
WiTopia,Panama,lt-50,0.01
WiTopia,Iceland,lt-50,0.01
WiTopia,Finland,lt-50,0.01
WiTopia,Dominican Republic,lt-50,0.00
WiTopia,Egypt,lt-50,0.00
Windscribe,United Kingdom,100-499,0.34
Windscribe,United States,100-499,0.19
Windscribe,Romania,100-499,0.19
Windscribe,Australia,lt-50,0.04
Windscribe,Estonia,lt-50,0.03
Windscribe,Canada,lt-50,0.02
Windscribe,Argentina,lt-50,0.02
Windscribe,Indonesia,lt-50,0.01
Windscribe,Thailand,lt-50,0.01
Windscribe,Cyprus,lt-50,0.01
Windscribe,Brazil,lt-50,0.01
Windscribe,Vietnam,lt-50,0.01
Windscribe,Panama,lt-50,0.01
Windscribe,Antarctica,lt-50,0.01
Windscribe,South Africa,lt-50,0.01
Windscribe,Albania,lt-50,0.01
Windscribe,South Korea,lt-50,0.01
Windscribe,India,lt-50,0.01
Windscribe,Latvia,lt-50,0.01
Windscribe,Moldova,lt-50,0.01
Windscribe,Israel,lt-50,0.01
Windscribe,Lithuania,lt-50,0.01
Windscribe,Taiwan,lt-50,0.01
Windscribe,Netherlands,lt-50,0.01
Windscribe,Bosnia and Herzegovina,lt-50,0.00
Windscribe,Iceland,lt-50,0.00
Windscribe,North Macedonia,lt-50,0.00
Windscribe,Georgia,lt-50,0.00
Windscribe,Poland,lt-50,0.00
Windscribe,Russia,lt-50,0.00
WorkingVPN,France,lt-50,1.00
WorldVPN,Germany,50-99,0.32
WorldVPN,United States,lt-50,0.19
WorldVPN,Netherlands,lt-50,0.07
WorldVPN,France,lt-50,0.04
WorldVPN,Hong Kong,lt-50,0.04
WorldVPN,Poland,lt-50,0.03
WorldVPN,Bulgaria,lt-50,0.03
WorldVPN,Latvia,lt-50,0.03
WorldVPN,Ukraine,lt-50,0.03
WorldVPN,Italy,lt-50,0.03
WorldVPN,Australia,lt-50,0.02
WorldVPN,Finland,lt-50,0.02
WorldVPN,Singapore,lt-50,0.02
WorldVPN,Russia,lt-50,0.02
WorldVPN,Sweden,lt-50,0.01
WorldVPN,Austria,lt-50,0.01
WorldVPN,Canada,lt-50,0.01
WorldVPN,Japan,lt-50,0.01
WorldVPN,Ireland,lt-50,0.01
WorldVPN,Romania,lt-50,0.01
WorldVPN,Luxembourg,lt-50,0.01
WorldVPN,Belgium,lt-50,0.01
WorldVPN,Malaysia,lt-50,0.01
WorldVPN,Liechtenstein,lt-50,0.01
WorldVPN,Brazil,lt-50,0.01
WorldVPN,Chile,lt-50,0.01
WorldVPN,Portugal,lt-50,0.01
WorldVPN,China,lt-50,0.01
WorldVPN,Philippines,lt-50,0.01
WorldVPN,Iceland,lt-50,0.01
WorldVPN,Norway,lt-50,0.01
WorldVPN,Spain,lt-50,0.01
WorldVPN,Türkiye,lt-50,0.01
WorldVPN,Greece,lt-50,0.01
Zoogvpn,Canada,lt-50,0.17
Zoogvpn,United States,lt-50,0.14
Zoogvpn,France,lt-50,0.10
Zoogvpn,Netherlands,lt-50,0.10
Zoogvpn,Hong Kong,lt-50,0.08
Zoogvpn,Romania,lt-50,0.07
Zoogvpn,Ukraine,lt-50,0.04
Zoogvpn,United Kingdom,lt-50,0.04
Zoogvpn,Germany,lt-50,0.02
Zoogvpn,Israel,lt-50,0.02
Zoogvpn,Lithuania,lt-50,0.02
Zoogvpn,Vietnam,lt-50,0.01
Zoogvpn,New Zealand,lt-50,0.01
Zoogvpn,Thailand,lt-50,0.01
Zoogvpn,Indonesia,lt-50,0.01
Zoogvpn,South Africa,lt-50,0.01
Zoogvpn,Brazil,lt-50,0.01
Zoogvpn,Armenia,lt-50,0.01
Zoogvpn,Moldova,lt-50,0.01
Zoogvpn,Estonia,lt-50,0.01
Zoogvpn,Kazakhstan,lt-50,0.01
Zoogvpn,Finland,lt-50,0.01
Zoogvpn,Georgia,lt-50,0.01
Zoogvpn,Türkiye,lt-50,0.01
Zoogvpn,Austria,lt-50,0.01
Zoogvpn,Latvia,lt-50,0.01
Zoogvpn,Hungary,lt-50,0.01
Zoogvpn,Italy,lt-50,0.01
uVPN,United States,lt-50,0.42
uVPN,France,lt-50,0.27
uVPN,Romania,lt-50,0.12
uVPN,Germany,lt-50,0.08
uVPN,United Kingdom,lt-50,0.08
uVPN,Luxembourg,lt-50,0.04
