provider,country,observed_records_bucket,prefix_count,asn_count,hosting_record_bucket,avg_confidence,data_origin
Sentinel dVPN,Netherlands,lt-50,9,7,lt-50,95.0,VPN-Infrastructure-Atlas
SwitchVPN,Panama,lt-50,2,1,lt-50,88.0,VPN-Infrastructure-Atlas
VPN.ac,Germany,lt-50,2,2,lt-50,95.0,VPN-Infrastructure-Atlas
VPN.ac,United Kingdom,lt-50,5,4,lt-50,95.0,VPN-Infrastructure-Atlas
Vpnht,Russia,lt-50,1,0,lt-50,78.0,VPN-Infrastructure-Atlas
WiTopia,Australia,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
Windscribe,Albania,lt-50,2,2,lt-50,95.0,VPN-Infrastructure-Atlas
Windscribe,Antarctica,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
Windscribe,Panama,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
Windscribe,Vietnam,lt-50,2,2,lt-50,95.0,VPN-Infrastructure-Atlas
Windscribe,South Africa,lt-50,4,1,lt-50,95.0,VPN-Infrastructure-Atlas
